Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,Stock,Price,Process,Minimum Qty,Attrition Qty,Class,Category,Manufacturer,Part,Voltage Rated,Tolerance,Capacitance,Temperature Coefficient,Resistance,Power(Watts),Type,Overload Voltage (Max),Operating Temperature Range,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"C1, C4",2,1uF,C_0402,,,,smt,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C52923,7796525,0.006USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05A105KA5NQNC,25V,±10%,1uF,X5R,,,,,,,,,
"C2, C6",2,100nF,C_0402,,,,smt,50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C307331,4519544,0.008USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05B104KB54PNC,50V,±10%,100nF,X7R,,,,,,,,,
"D1, D2",2,H3V3N10B,D_DFN1006-2L,,,,smt,8A 10V 80W 6V Bidirectional 3.3V DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS,C20617909,5860,0.016USD,SMT,20,10,Preferred Component,"TVS/Fuse/Board Level Protection,Electrostatic And Surge Protection (TVS/ESD)",hongjiacheng,H3V3N10B,,,,,,,,,,,,,
D3,1,1SS389,D_SOD-523,,,,smt,10V Independent Type 500mV@100mA 100mA SOD-523 Schottky Diodes ROHS,C22466369,4454,0.016USD,SMT,20,6,Preferred Component,"Diodes,Schottky Diodes",hongjiacheng,1SS389,,,,,,,,,,,,,
D4,1,Red,D_0603,,,,smt,-40°C~+85°C Red 0603 LED Indication - Discrete ROHS,C2286,2875790,0.009USD,SMT,20,6,Basic Component,"Optocouplers & LEDs & Infrared,Light Emitting Diodes (LED)",Hubei KENTO Elec,KT-0603R,,,,,,,,,,,,,
F1,1,100 mA,Fuse_0603_1608Metric,,,,smt,"Resettable fuse, polymeric positive temperature coefficient",,,,,,,,,,,,,,,,,,,,,,,
J2,1,I/O Header,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,,,,,,,,,,,,
R1,1,1kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,6792566,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF1001TCE,,±1%,,±100ppm/°C,1kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,
U2,1,TSOP392,TVCastSMD4,,,,smt,,,,,,,,,,,,,,,,,,,,,,,,
U3,1,STM32C011F4,ST_UFQFPN-20_3x3mm_P0.5mm,,,,smt,"STMicroelectronics Arm Cortex-M0+ MCU, 16KB flash, 6KB RAM, 48 MHz, 2.0-3.6V, 18 GPIO, UFQFPN20",,,,,,,,,,,,,,,,,,,,,,,
U4,1,LDK220PU33R,LDK220PU33R,,LDK220PU33R,,smt,LDO Voltage Regulators 200 mA low quiescent current and low noise LDO,,,,,,,,,,,,,,,,,,,,0.5,511-LDK220PU33R,https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LDK220PU33R?qs=WHlX%252B%252B9%2FRwDpjnM8g%252BfY2w%3D%3D,STMicroelectronics
