Mid X,Mid Y,Rotation,Layer,Designator,mpn,pack,footprint,value,mount_type
145.20535,-103.4111,180.0,top,C1,,,C0603,100nF,tht
145.20535,-106.1416,0.0,top,C2,,,C0603,1uf,tht
144.90335,-107.5716,180.0,top,D1,,,SOD523,,tht
144.69735,-106.0146,180.0,bottom,GND_PAD0,,,PAD_50X50,,tht
146.98335,-100.9346,180.0,bottom,GND_PAD1,,,PAD_75X75,,tht
146.79285,-102.3316,0.0,top,IR1,,,TSOP77338,TSOP77338TS,tht
147.17385,-109.3801,180.0,top,JP1,,,1X3,,tht
152.25385,-109.3801,0.0,top,KILL_SWITCH0,,,1X01,,tht
151.80935,-100.2361,180.0,top,LED0,,,0603_SMALL,,tht
152.31735,-106.0146,90.0,bottom,MISO_PAD0,,,PAD_50X50,,tht
149.77735,-100.9346,90.0,bottom,MOSI_PAD0,,,PAD_75X75,mosi,tht
145.20535,-104.7763,0.0,top,R1,,,R0603,100Ohm,tht
151.93635,-101.5696,180.0,top,R2,,,R0603,470,tht
151.93635,-103.0936,180.0,top,R3,,,R0603,1K,tht
152.71215,-106.4921,-90.0,top,R4,,,R0603,1KOhm,tht
150.28535,-107.7926,0.0,top,R5,,,R0603,1KOhm,tht
152.31735,-100.9346,180.0,bottom,RESET_PAD0,,,PAD_50X50,,tht
149.77735,-106.0146,-0.0,bottom,SCK_PAD0,,,PAD_50X50,,tht
148.63435,-105.0622,180.0,top,UC0,,,DFN10,ATTINY13A,tht
144.69735,-100.9346,180.0,bottom,VCC_PAD0,,,PAD_50X50,,tht
